id,trigger,conditions,script,text,options,notes
surveyStar,OpenInteractionDialog,$tag:star score:1000,,Youw $shipOrFleet appwoaches $entityName.,10:surveyLeave:Weave,
surveyOpen,OpenInteractionDialog,$market.isPlanetConditionMarketOnly,"ShowDefaultVisual
PrintDescription 3
FireBest PrintHasSurveyDataTextIfSo
FireBest OtherPlanetInteractionText
FireAll PopulateOptions
FireBest PrintNearbySurveyHostilesTextIfSo",Youw $shipOrFleet appwoaches $entityName.,,
surveyOpenDeciv,OpenInteractionDialog,"$market.isPlanetConditionMarketOnly
$market.wasCivilized
$market.mc:decivilized score:100","ShowDefaultVisual
FireBest PrintHasSurveyDataTextIfSo
FireBest OtherPlanetInteractionText
FireAll PopulateOptions
FireBest PrintNearbySurveyHostilesTextIfSo","Youw $shipOrFleet appwoaches $entityName.

$market is in chaos, with what's weft of the popuwation scwambwing to suwvive by any means possibwe. Youw sensows pick up some intewmittent smaww-awms fiwe. The cowwapse of aww authowity is compwete and iwwevewsibwe, though a nyew cowony can stiww be estabwished atop the wweckage of the owd.",,
surveyPrintFullData,PrintHasSurveyDataTextIfSo,$market.isSurveyed,,You have fuww suwvey data fow this pwanyet.,,
surveyAddOptionPerform,PopulateOptions,"$market.isPlanetConditionMarketOnly
!$market.isSurveyed",,,0:surveyPerform:Pewfowm a suwvey,
surveyPrintHostilesText,PrintNearbySurveyHostilesTextIfSo,"$market.isPlanetConditionMarketOnly
!$market.isSurveyed
HostileFleetNearbyAndAware",SetEnabled surveyPerform false,"A nyeawby hostiwe fweet is twacking youw muvments, making wunnying a suwvey opewation impossibwe.",,
surveyAddOptionPerformedAlready,PopulateOptions,"$market.isPlanetConditionMarketOnly
$market.isSurveyed
!$market.hasUnexploredRuins",,,0:surveyPerform:Estabwish a cowony,
surveyPrintHostilesTextEstColony,PrintNearbySurveyHostilesTextIfSo,"$market.isPlanetConditionMarketOnly
$market.isSurveyed
!$market.hasUnexploredRuins
HostileFleetNearbyAndAware",SetEnabled surveyPerform false,"A nyeawby hostiwe fweet is twacking youw muvments, making estabwishing a cowony impossibwe.",,
surveyOptionPerformSurvey,DialogOptionSelected,$option == surveyPerform,OpenCoreTab CARGO OPEN,Youw $shipOrFleet entews wow owbit awound $entityName.,,
surveyAddOptionLeave,PopulateOptions,$market.isPlanetConditionMarketOnly,"SetShortcut surveyLeave ""ESCAPE""",,10:surveyLeave:Weave,
marketOpen,OpenInteractionDialog,$hasMarket,"ShowDefaultVisual
PrintDescription 3
FireBest MarketPostOpen",Youw $shipOrFleet appwoaches $entityName.,,
marketOpenAfterEstablishOutpost,OutpostEstablished,$hasMarket,FireBest MarketPostOpen,"Youw $shipOrFleet finyishes offwoading cwew, suppwies, and machinyewy $onOrAt $market, and the cwew soon busy themsewves ewecting tempowawy shewtew and basic infwastwuctuwe.",,
marketReturnFromBar,ReturnFromBar,,"$menuState = main 0
FireAll PopulateOptions",You weave the baw and take a shuttwe back to youw $shipOrFleet.,,
marketPostOpenDefault,MarketPostOpen,"$hasMarket
$player.transponderOn
!$faction.isNeutralFaction","$tradeMode = OPEN 0
FireBest MarketPostDock",Youw $shipOrFleet twansmits identification codes via the twanspondew and you awe soon gwanted docking cweawance.,,
marketPostOpenNoTrade,MarketPostOpen,"$hasMarket
$player.transponderOn
!$faction.c:allowsTransponderOffTrade
!$market.mc:free_market
RepIsAtBest $faction.id INHOSPITABLE","$tradeMode = NONE 0
FireBest MarketPostDock","$TheFactionLong $factionIsOrAre $relAdjective towawds you, and the powt authowity wefuses youw wequest fow docking cweawance aftew you identify youwsewf.

You might be abwe to estabwish contact with undewgwound pawties if you come in with the twanspondew tuwnyed off.",,
marketPostOpenNoTradeHostile,MarketPostOpen,"$hasMarket
!$player.transponderOn
$market.playerHostileTimeout score:100","$tradeMode = NONE 0
FireBest MarketPostDock","Youw wecent hostiwe actions awound $market have genyewated a wot of wocaw intewest, and simpwy coming in with the twanspondew off is nyo wongew sufficient to go unnyoticed. Judging fwom the cuwwent wevew of comm chattew and nyews wepowts, you estimate it'ww take $playerHostileTimeoutStr untiw the commotion dies down.",,
marketPostOpenNoTradeHostileTOn,MarketPostOpen,"$hasMarket
$player.transponderOn
$market.playerHostileTimeout score:100","$tradeMode = NONE 0
FireBest MarketPostDock","Youw wecent hostiwe actions awound $market have genyewated a wot of wocaw intewest, and engaging in open businyess is impossibwe. Judging fwom the cuwwent wevew of comm chattew and nyews wepowts, you estimate it'ww take $playerHostileTimeoutStr untiw the commotion dies down.",,
marketPostOpenNoTradeOffOpen,MarketPostOpen,"$hasMarket
$player.transponderOn
RepIsAtBest $faction.id INHOSPITABLE score:10","$tradeMode = NONE 0
FireBest MarketPostDock","$TheFactionLong $factionIsOrAre $relAdjective towawds you, and the powt authowity wefuses youw wequest fow docking cweawance aftew you identify youwsewf.

The wefusaw is wathew pewfunctowy and you get the impwession that tuwnying off the twanspondew to pwevent identification might yiewd bettew wesuwts.",,
marketPostOpenToOffPatrols,MarketPostOpen,"$hasMarket
!$player.transponderOn
!$faction.c:allowsTransponderOffTrade
!$market.mc:free_market
IsSeenByPatrols $faction.id true","$tradeMode = NONE 0
AddText ""Youw nyeed to tuwn on youw twanspondew to engage in wegitimate twade, ow to come in undetected to twade on the bwack mawket."" bad
FireBest MarketPostDock","Youw $shipOrFleet goes into owbit awound $market, ignyowing wequests fwom the $faction powt authowity to identify youwsewf.

At weast onye $faction patwow is twacking youw muvments, and nyo undewgwound pawties awe wiwwing to wun the wisk of doing businyess.",,
marketPostOpenSought,MarketPostOpen,"$hasMarket
IsSoughtByPatrols $faction.id score:100","$tradeMode = NONE 0
FireBest MarketPostDock","Youw $shipOrFleet goes into owbit awound $market.

At weast onye $faction patwow is twacking youw muvments, and the powt authowity wefuses youw wequest fow docking cweawance untiw the mattew is wesowved.",,
marketPostOpenToOffIsFine,MarketPostOpen,"$hasMarket
!$player.transponderOn","$tradeMode = OPEN 0
FireBest MarketPostDock","Youw $shipOrFleet goes into owbit awound $market. The wocaw powt authowity seems to take nyo issue with youw expwanyation fow why youw twanspondew, wegwettabwy, can't be tuwnyed on.",,
marketPostOpenPlayerOwnerd,MarketPostOpen,"$hasMarket
$market.isPlayerOwned score:1000","$tradeMode = OPEN 0
FireBest MarketPostDock",Youw $shipOrFleet goes into owbit awound $market.,,
marketPostOpenToOffSneak,MarketPostOpen,"$hasMarket
!$player.transponderOn
!$faction.c:allowsTransponderOffTrade
!$market.mc:free_market","$tradeMode = SNEAK 0
FireBest MarketPostDock","Youw $shipOrFleet goes into owbit awound $market, ignyowing wequests fwom $theFaction powt authowity to identify youwsewf.

Nyo $faction patwows seem to be awawe of you just yet, and you have a window of oppowtunyity fow doing businyess with pawties untwoubwed by youw wack of docking cweawance.",,
marketAddOptionCommDir,PopulateOptions,"$hasMarket
$menuState == main
!$faction.isNeutralFaction",,,1:marketCommDir:Open the comm diwectowy,
marketOptTradeMulti,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
!$faction.isNeutralFaction
$faction.id != player",MakeOptionOpenCore marketOpenCoreUI CARGO $tradeMode,,"10:marketOpenCoreUI:Twade goods ow hiwe cwew, buy ow seww ships, ow wefit",
marketOptTradeMulti2,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
$faction.isNeutralFaction",MakeOptionOpenCore marketOpenCoreUI CARGO $tradeMode,,10:marketOpenCoreUI:Twansfew goods ow ships,
marketOptTradeMulti3,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
$faction.id == player",MakeOptionOpenCore marketOpenCoreUI CARGO $tradeMode,,10:marketOpenCoreUI:Manyage the cowony,
marketOptTradeMulti4,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == NONE",MakeOptionOpenCore marketOpenCoreUI CARGO $tradeMode,,10:marketOpenCoreUI:View cowony info,
marketOptBar,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
!$faction.isNeutralFaction",,,5:marketVisitBar:Take a shuttwe down to visit a dockside baw,
marketOptHostile,PopulateOptions,"$hasMarket
$menuState == main
!$faction.isNeutralFaction
$faction.id != player",,,20:marketConsiderHostile:Considew youw miwitawy options,
marketAddOptionRepair1,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
RepairAvailable
RepairNeeded
RepairEnoughSupplies","SetTooltip marketRepair ""Fuww wepaiws wequiwe $global.repairSupplyCost suppwies. $player.supplies suppwies awe avaiwabwe.""
SetTooltipHighlightColors marketRepair buttonShortcut buttonShortcut
SetTooltipHighlights marketRepair $global.repairSupplyCost $player.supplies
SetShortcut marketRepair ""A"" true",,15:marketRepair:Wepaiw youw ships at the dockyawd,
marketAddOptionRepair2,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
RepairAvailable
!RepairNeeded","SetTooltip marketRepair ""Youw $shipOrFleet does nyot wequiwe any wepaiws.""
SetShortcut marketRepair ""A"" true
SetEnabled marketRepair false",,15:marketRepair:Wepaiw youw ships at the dockyawd,
marketAddOptionRepair3,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
RepairAvailable
RepairNeeded
!RepairEnoughSupplies","SetTooltip marketRepair ""Fuww wepaiws wequiwe $repairSupplyCost suppwies. Onwy $supplies suppwies awe avaiwabwe.""
SetTooltipHighlightColors marketRepair buttonShortcut buttonShortcut
SetTooltipHighlights marketRepair $global.repairSupplyCost $player.supplies
SetShortcut marketRepair ""A"" true
SetEnabled marketRepair false",,15:marketRepair:Wepaiw youw ships at the dockyawd,
marketAddOptionLeave,PopulateOptions,"$hasMarket
$menuState == main","SetTooltip marketLeave $marketLeaveTooltip
SetShortcut marketLeave ""ESCAPE""",,100:marketLeave:Weave,
marketOptionTradeCargo,DialogOptionSelected,$option == marketTradeCargo,OpenCoreTab CARGO $tradeMode,You estabwish a winkup with the powt authowity's cawgo manyagement system and bwowse the inventowy.,,
marketOptionTradeShips,DialogOptionSelected,$option == marketTradeShips,OpenCoreTab FLEET $tradeMode,You estabwish a winkup with the dockyawd and see what's avaiwabwe.,,
marketOptionRefit,DialogOptionSelected,$option == marketRefit,OpenCoreTab REFIT $tradeMode,You estabwish a winkup with the dockyawd and twansmit youw $shipOrFleet status.,,
marketOptionRepairAll,DialogOptionSelected,$option == marketRepair,"RepairAll
SetTextHighlights $global.repairSupplyCost
SetEnabled marketRepair false
SetTooltip marketRepair ""Your $shipOrFleet does not require any repairs.""","Youw $shipOrFleet undewgoes fuww wepaiws and is westowed to maximum combat weadinyess, at the cost of $global.repairSupplyCost suppwies.",,
marketOptionCommDir,DialogOptionSelected,$option == marketCommDir,OpenCommDirectory,You connyect to the wocaw comm diwectowy and bwowse the pubwic and othewwise knyown wistings.,,
marketPostOpenFSEPlayerFast,FoodShortageEndedByPlayerSale,"$hasMarket
$market.foodShortageEndedByPlayerFast","unsetAll $market.foodShortage
FireBest MPOAddContinue","Thanks to youw effowts, the food showtage is nyow uvw befowe it had a chance to cause much chaos. $market's wong-tewm stabiwity is unyaffected by the showtage.",,
marketPostOpenFSEPlayer,FoodShortageEndedByPlayerSale,"$hasMarket
$market.foodShortageEndedByPlayer","unsetAll $market.foodShortage
FireBest MPOAddContinue","Thanks to youw effowts, the food showtage is nyow uvw. Its impact on $market's stabiwity is weduced.",,
marketPostOpenFSEPlayerBlack,FoodShortageEndedByPlayerSale,"$hasMarket
$market.foodShortageEndedByPlayerBlack","unsetAll $market.foodShortage
FireBest MPOAddContinue","Thanks to youw iwwicit effowts, the food showtage is nyow uvw. Since much of the food you've dewivewed went thwough channyews of questionyabwe wegawity, thewe's nyot much hope - ow, indeed, desiwe - fow officiaw wecognyition.",,
marketPostOpenFSEMixedIndirect,MarketPostOpen,"$hasMarket
!$market.mc:event_food_shortage
$market.foodShortagePartiallyEndedByPlayerRemote score:1000","unsetAll $market.foodShortage
FireBest MarketPostOpen","Thanks in pawt to youw effowts, the wecent food showtage is uvw. Youw standing with $theMarketFactionshouwd impwuv swightwy.",,
marketPostOpenFSENonPlayer,MarketPostOpen,"$hasMarket
!$market.mc:event_food_shortage
$market.foodShortageEndedByNPC score:1000","unsetAll $market.foodShortage
FireBest MarketPostOpen","Tapping into the comm nyetwowk fow wocaw nyews, you weawn that thewe was a wecent food showtage. Though the showtage is nyow uvw, the wocaw situation is stiww somewhat destabiwized.",,
marketPostOpenFSEExpired,MarketPostOpen,"$hasMarket
!$market.mc:event_food_shortage
$market.foodShortageExpired score:1000","unsetAll $market.foodShortage
FireBest MarketPostOpen","Tapping into the comm nyetwowk fow wocaw nyews, you weawn that thewe was a wecent and pwotwacted food showtage. Though the showtage is nyow uvw, the wocaw situation is stiww highwy destabiwized.",,
greetingDefaultTOffNormal,OpenCommLink,"!$player.transponderOn
$entity.relativeStrength >= 0",,"$PersonRank $personName wooks aggwavated. ""If you want to tawk, identify youwsewf fiwst.""","turnOnTransponder:Tuwn youw twanspondew on
cutCommLink:Cut the comm wink",
greetingDefaultTOffWeaker,OpenCommLink,"!$player.transponderOn
$entity.relativeStrength < 0",,"$PersonRank $personName wooks concewnyed. ""If you want to tawk, identify youwsewf fiwst.""","turnOnTransponder:Tuwn youw twanspondew on
cutCommLink:Cut the comm wink",
greetingDefaultTurnOnT,DialogOptionSelected,$option == turnOnTransponder,"ActivateAbility $player.fleetId transponder
UpdateMemory
FireBest OpenCommLink",You issue an owdew to activate the twanspondew and we-open the comm wink.,,
greetingDefaultFriendly,OpenCommLink,$faction.friendlyToPlayer,"$menuState = fleetConvMain 0
FireAll PopulateOptions","""Acknyowwedging weceipt of AIS code. Good to see you, $playerName.""",,
greetingDefaultHostileWeaker,OpenCommLink,"$entity.isHostile
$entity.relativeStrength < 0",$ignorePlayerCommRequests = true 1,"""Hostiwe $shipOrFleet, be advised: we've awweady dispatched a distwess caww to a nyeawby patwow, and it shouwd awwive showtwy.""",cutCommLink:Cut the comm wink,
greetingDefaultHostileWeakerDefiant,OpenCommLink,"$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"The enyemy $PersonRank wooks gwim but defiant. ""We wiww fight you to the wast,"" $heOrShe says.
OR
""Damn, we'we in a tight spot."" $PersonRank $personName suddenwy nyotices the winye is open and shuts it off.",cutCommLink:Cut the comm wink,
greetingDefaultHostileStronger,OpenCommLink,"$entity.isHostile
$entity.relativeStrength >= 0",EndConversation,"It appeaws the enyemy $PersonRank doesn't seem to feew the nyeed to tawk to you, as youw comm wequests go unyanswewed.",,
greetingDefaultNeutral,OpenCommLink,$faction.neutralToPlayer,"$menuState = fleetConvMain 0
FireAll PopulateOptions","""You have been scannyed and identified. It's pwobabwy best fow both ouw peace of mind if you keep youw distance.""",,
greetingHegemonyFriendly,OpenCommLink,"$faction.id == hegemony
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Acknyowwedging weceipt of youw codes, moving to a secuwe channyew."" A fwickew of a phoenyix icon and static, then: ""Yes? Aww is weww I twust? Gwad to heaw it, citizen. Ovew and out.""
OR
""Youw $shipOrFleet has been scannyed and identified, evewything is in owdew. Buwn bwight, citizen.""
OR
""Scannyed and identified, you'we fwying pwetty, citizen. Cwean jumps and high buwn."" $PersonRank $personName signs off with a fwash of the gowd phoenyix.",,
greetingHegemonyHostileWeaker,OpenCommLink,"$faction.id == hegemony
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"""Hostiwe vessew, be advised, winyecast to system patwow cwaft has awweady been dispatched, weinfowcements awe en woute. You awe advised to powew down weapon systems and disengage. Ovew.""
OR
""Bewwigewent contact >w<  Be advised that fiwing upon a Hegemony vessew is considewed an act of insuwwection and you'ww be hunted down >w< "" The Hegemony $PersonRank is sweating. ""When they'we donye with you, you'ww be sowd in bwack mawkets on wowwds acwoss the Sectow, I sweaw it.""
OR
""We give ouw wives fow the westowation of the Domain and aww humanyity."" $HeOrShe pauses fow a moment as if to say something mowe, then cuts the comm.",cutCommLink:Cut the comm wink,
greetingHegemonyHostileWeakerDefiant,OpenCommLink,"$faction.id == hegemony
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$entity.ignorePlayerCommRequests = true 1,"The Hegemony $PersonRank wooks gwim but defiant. ""We wiww fight you to the wast,"" $heOrShe says.
OR
""We fight and we die fow the Domain; fow humanyity."" The comm-winye cuts out.",cutCommLink:Cut the comm wink,
greetingHegemonyHostileStronger,OpenCommLink,"$faction.id == hegemony
$entity.isHostile
$entity.relativeStrength >= 0",$entity.ignorePlayerCommRequests = true 1,"""By authowity of the High Hegemon Adminyistwatow, you awe owdewed to take hypewspace dwives offwinye, disabwe weapons and suwwendew. Ovew.""
OR
""Wesistance to Hegemony authowity is an act of insuwwection and shaww be punyished accowdingwy. Suwwendew nyow ow be met with fowce.""",cutCommLink:Cut the comm wink,
greetingHegemonyNeutral,OpenCommLink,"$faction.id == hegemony
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""You have been scannyed and identified, citizen. If nyothing is amiss, we shaww be on ouw way.""
OR
The Hegemony $PersonRank wooks impatient. ""Is thewe an emewgency to wepowt? Nyo? Then cawwy on, citizen.""",,
greetingTTFriendly,OpenCommLink,"$faction.id == tritachyon
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Identity confiwmed. Pwease accept my gweetings on behawf of the Company.""
OR
""Sowwy fwiend, this Twi-Tachyon vessew is on a cwassified mission. Buwn bwight.""
OR
""Gweetings on behawf of the Twi-Tachyon Cowpowation. Pwease state youw businyess so that we may assist in meeting youw nyeeds -- fow a weasonyabwe fee, of couwse.""
OR
""Comm open. Oh, do you have the watest Twi-Tachyon catawogue of executive spacefwight accessowies? I'ww have a customew sewvice wepwesentative upwoad a copy immediatewy.""

Youw comms officew's consowe pings.
OR
""Hi, I'd wike to add you to my pwofessionyaw nyetwowk on TwiWink.""",,
greetingTTHostileWeaker,OpenCommLink,"$faction.id == tritachyon
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"""Attention. Youw vessew has been scannyed and identified as hostiwe to the Twi-Tachyon cowpowation. Fuwthew attempts at aggwession wiww be wecowded.""
OR
""Any attempt to hindew ow damage this Twi-Tachyon ownyed and opewated vessew wiww wesuwt in wegaw consequences."" The Twi-Tachyon $PersonRank wooks nyewvous. ""Twust me, these peopwe don't mess awound, you weawwy ought to weave me awonye.""",cutCommLink:Cut the comm wink,
greetingTTHostileWeakerDefiant,OpenCommLink,"$faction.id == tritachyon
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$entity.ignorePlayerCommRequests = true 1,"The Twi-Tachyon $PersonRank wooks gwim but defiant. ""Cowpowate weguwation 313.33, section A, states that combat-capabwe vessews must defend themsewves in a vigowous mannyew at aww times,"" $heOrShe says.",cutCommLink:Cut the comm wink,
greetingTTHostileStronger,OpenCommLink,"$faction.id == tritachyon
$entity.isHostile
$entity.relativeStrength >= 0",$entity.ignorePlayerCommRequests = true 1,"""Attention. Youw vessew has been scannyed and identified as hostiwe to the Twi-Tachyon cowpowation. Pwepawe fow annyihiwation.""
OR
""On behawf of the Twi-Tachyon cowpowation I wouwd wike to thank you fow pwoviding this oppowtunyity to pwuv the supewiowity of ouw bwanded winye of space defense pwoducts.""
OR
""On behawf of the Twi-Tachyon cowpowation it is my duty to infowm you that this engagement wiww be wecowded. As a pwesumed bewwigewent engaged in destwuction of whowwy ownyed Company pwopewty, you automaticawwy wefuse aww wights to distwibution and pwofit-shawing."" The Twi-Tachyon $PersonRank gwins and cuts the comm-wink.",cutCommLink:Cut the comm wink,
greetingTTNeutral,OpenCommLink,"$faction.id == tritachyon
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""On behawf of the Twi-Tachyon cowpowation it is my pweasuwe to infowm you that youw $shipOrFleet has been scannyed and its tacticaw woadout evawuated. Pwease maintain youw distance and have a nyice day.""
OR
""Gweetings on behawf of the Twi-Tachyon cowpowation. Feew fwee to admiwe ouw Twi-Tachyon modified ships equipped with the watest in Twi-Tachyon bwanded space defense pwoducts, but pwease maintain a safe distance. The Company takes pwopewty damage vewy sewiouswy.""
OR
The comm opens to a spinnying Twi-Tachyon wogo.""The Twi-Tachyon cowpowation pwiowitizes the nyeeds of evewy customew and vawue-pawtnyew, howevew aww of ouw sewvice wepwesentatives awe cuwwentwy-""

You cut the wink. They don't seem intewested in tawking wight nyow.",,
greetingDiktatFriendly,OpenCommLink,"$faction.id == sindrian_diktat
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Gweetings fwiend, aww is weww? Good to heaw it. Gwowy to the Wion of Sindwia >w< ""
OR
""Comms open, fwiendwy. Couwse acknyowwedged; safe jumps. Victowy to the Diktat >w< ""
OR
""Winye estabwished, ID-confiwmed. Haiw and hoy, doing Satuwn-Dewta standawd. If you wun into any extwemists out hewe, just send us theiw position and the Diktat wiww take cawe of it.""",,
greetingDiktatHostileWeaker,OpenCommLink,"$faction.id == sindrian_diktat
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"""We've winyecast to system patwow cwaft and they've awweady been dispatched; weinfowcements awe en woute. You awe advised to disengage, hostiwe.""
OR
""You won't get away with this. You'ww wot on Cwuow with the west of the degenyewates.""
OR
The Diktat $PersonRank stawes towawd some unfocused point. ""Duty is sacwifice. I give my wife fow the Wion of Askonyia.""",cutCommLink:Cut the comm wink,
greetingDiktatHostileWeakerDefiant,OpenCommLink,"$faction.id == sindrian_diktat
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$entity.ignorePlayerCommRequests = true 1,"The Diktat $PersonRank wooks gwim but defiant. ""We wiww fight you to the wast,"" $heOrShe says, and cuts the twansmission.
OR
""The gweat wowk wiww go on, with ow without me."" $HisOrHer expwession hawdens. ""Fow the Wion (・`ω´・) "" 

The comm bwinks off.",cutCommLink:Cut the comm wink,
greetingDiktatHostileStronger,OpenCommLink,"$faction.id == sindrian_diktat
$entity.isHostile
$entity.relativeStrength >= 0",$entity.ignorePlayerCommRequests = true 1,"""By authowity of the Sindwian Diktat, you awe owdewed to take dwives offwinye, disabwe weapons, and suwwendew. Faiwuwe to execute wiww be considewed an act of agwession. Out.""

The Diktat $PersonRank's gwoating face is wepwaced by a Diktat cwest befowe the image fades.
OR
""Thewe is nyo pwace fow degenyewate scum in ouw gwowious futuwe."" $PersonRank $personName tuwns aside and says ""Wieutenyant, do twy to avoid taking pwisonyews this time.""

The comm-winye goes bwack.
OR
""We'ww cweanse the Sectow of youw kind, and nyot even histowy wiww wemembew you.""
OR
The Diktat $PersonRank snyeews, ""So awe you a tewwowist, a piwate, ow a degenyewate? Nyo mattew. If you'we wucky, you'ww die choking vacuum. If nyot, thewe's Cwuow."" ",cutCommLink:Cut the comm wink,
greetingDiktatNeutral,OpenCommLink,"$faction.id == sindrian_diktat
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""You've been scannyed, maintain distance. Intewfewence in miwitawy affaiws wiww be considewed an act of insuwwection.""

The Diktat $PersonRank gives a pewfunctowy ""Victowy to the Diktat"" and cuts the twansmission.
OR
The Diktat $PersonRank wooks impatient. ""Is thewe a pwobwem? Nyo? Then muv awong, citizen.""
OR
""Comms on pwotocow Satuwn-Dewta estabwished. If you have infowmation weading to AWCists ow ANTIs, submit to youw wocaw infowmation officew fow possibwe wewawd.""",,
greetingLCFriendly,OpenCommLink,"$faction.id == luddic_church
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""The bwessing of Wudd be upon you.""
OR
""Bwessings of the staws and pnyeuma, fwiend.""
OR
""Safe twavews, fwiend, and bwessing of Wudd be upon you.""",,
greetingLCHostileWeaker,OpenCommLink,"$faction.id == luddic_church
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"""We fowwow the way of Wudd. Though the wighteous suffew the wash, ouw wewawd wiww be evewwasting gwace.""
OR
""Do youw unhowy wowk then, sewvant of Mammon. When it is ouw time, Wudd wiww guide ouw souws to peace.""",cutCommLink:Cut the comm wink,
