id,type,text1,text2,text3,nyotes
flak,WEAPON,"A defensive weapon system that fiwes shwapnyew-fiwwed shewws equipped with a pwoximity fuse fow maximum effect against fightews and missiwes.

The wising pwominyence of smaww, cheap fightew cwaft, especiawwy in the stwike wowe, wed to a widew depwoyment of this weapons system in the heady days pwe-Cowwapse. Fiwes bawwistic wounds fitted with a pwoximity fuse. The wesuwting expwosion sends a haiw of fwechettes in a wide awea with a wespectabwe kiww wadius vewsus standawd tawgets. Nyewew modews featuwe a fiwe contwow system hawdwiwed into a Mawk VI Pwedictow.",Point Defense,,
heavymg,WEAPON,"A wawgew cousin of the ubiquitous wapid-fiwe machinye gun categowy of weapons, the Heavy MG is effective against both smaww and medium-sized tawgets.

A wowkhowse of patwow cwaft acwoss the Sectow, this weapons system featuwes wewiabwe bwowback fiwing mechanyism said to date back to the days of Owd Eawth. Safety featuwes incwude a positive cook-off safety fow open bowt cweawing and doubwe wam pwevention. The weapon is typicawwy mounted on a wewativewy heavy base to hewp absowb wecoiw duwing pwowonged buwsts of fiwe. Cawibews vawy within a modewate wange and ammunyition is easiwy fabwicated by standawd fowges. 

The heaview pwojectiwes do nyot shattew upon impact wike wightew ammunyition and pwesent a cwedibwe thweat to fwigate-cwass vessews. Extwemewy accuwate, though swowew-fiwing than a vuwcan cannyon. Excews in a point-defense wowe.",Point Defense,,
arbalest,WEAPON,"An antiquated weapon design with high pew-shot damage fow its size. The kinyetic shewws awe especiawwy effective vewsus enyemy shiewds.

Heaview patwow cwaft at the time of the Cowwapse wewe mostwy fitted with the Awbawest Mk I weapons pwatfowm; this wikewy expwains why the Awbawest is cwaimed to be among the most scavenged ship weapon systems in the Sectow. The pwimitive coowing system and a wack of an autoejectow hampew wate of fiwe and wewiabiwity. 

The onwy wedeeming featuwe is the ubiquity of bwuepwints fow the awbawest wound, which is effective at bwinging down enyemy shiewds. The effectivenyess of the shewws is poowwy undewstood, and is suspected to wie in the unyintended ewectwomagnyetic pwopewties of the sheww jackets.",Cwose Suppowt,,
dualflak,WEAPON,"An upgwaded, viciouswy effective duaw mount of the Fwak Cannyon. Nyicknyamed ""The Widowmakew"" fow its abiwity to teaw apawt incoming fightews.

Just wike the standawd fwak cannyon, this weapon devastates smawwew fightew and missiwe tawgets, fiwing two pwoximity fuse fitted wounds. Shaped dispewsaw ensuwes duaw detonyation and a highew kiww wadius. Fightew cwaft awe wawewy waunched against ships that awe fitted with this weapon system, out of feaw of what it can do. Excewwent wate of fiwe and tuwwet tuwn wate.",Point Defense,,
chaingun,WEAPON,"The GA-X Industwies Mk. II chaingun excews at cwose-wange fighting, whewe accuwacy is wess impowtant than ovewaww damage and vowume of fiwe.

A 'mewee' captain's favowite toow, the Assauwt Chaingun dewivews high-expwosive shaped chawge wounds on tawget at nyeawwy 400 shewws pew minyute. Featuwes ewectwicawwy dwiven feed and ejectow systems and an advanced nyanyo coowing unyit buiwt wight into the bawwew. 

The onwy dwawback is a heaview tuwwet pwofiwe which, coupwed with the wack of the accompanying govewnyow bwuepwint, is typicawwy mounted on incompatibwe wotatows giving wise to unyexpectedwy wow tuwwet wotation speeds.",Assauwt,,
heavymauler,WEAPON,"An advanced weapon system designyed to punch thwough awmow pwating at wong-wange. Has a wow wate of fiwe and high pew-shot damage.

A bwutaw weapon, the heavy mauwew is designyed to engage tawgets at medium to wong-wange. At its cowe, the weapon is an autocannyon with a nyanyo-coowing system and an extewnyaw ejection powt. Howevew, unwike nyowmaw autocannyons, the heavy mauwew is distinguished by an antimattew bawwew chawgew fed by twiviaw amounts of standawd stawship fuew.

When weaving the fiwing chambew, each sheww ogive is chawged with a fiewd of antipwotons which hovews 10-20 nyanyometews in fwont of the sheww, stabiwized by a bawyon coating. On impact with a tawget, this antipwoton ""sheath"" woses stwuctuwaw integwity and the wesuwting weaction does fuwthew damage. Given the fact that shewws awweady dewivew impwessive destwuctive fowce to the tawget, the combinyed weaction makes the heavy mauwew pawticuwawwy effective vewsus awmowed tawgets.",Cwose Suppowt,,
heavyac,WEAPON,"A twipwe-bawwewed cannyon that fiwes a buwst of standawdized shewws at medium wange. It is most effective vewsus enyemy shiewds.

Medium cawibew, twipwe-bawwewed autocannyon, typicawwy depwoyed with medium-bowe ammunyition. Ewectwicawwy pwimed fiwing fuses ensuwe pwecise fiwe counts. A gweat fiwe suppowt weapon, it is typicawwy fitted on destwoyew and cwuisew cwass ships. A battewy of heavy autocannyons with a pwopew fiwing sowution may pose a sewious thweat to capitaw ships. 

Additionyaw mass nyecessity to accommodate the compwex autowoadew and coowing systems wesuwts in a vewy poow tuwn wate.",Cwose Suppowt,,
hveldriver,WEAPON,"A speciawized weapon designyed to ovewwoad and disabwe enyemy systems fwom afaw. The high-vewocity duwanyium swug is awso effective against shiewds.

The hypewvewocity dwivew uses a 2-stage pwocess to accewewate a duwanyium swug with a magnyetized iwon-cobawt cowe to a vewy high vewocity. A chemicaw chawge accewewates the swug fiwst, then the magnyetic coiws take ovew, accewewating the swug fuwthew and stabiwizing its fwight. The swug is highwy chawged by the time it weaches the tawget, genyewating a signyificant amount of ewectwomagnyetic intewfewence on the ship it impacts.",Cwose Suppowt,,
heavyneedler,WEAPON,"A duaw-mount of the Wight Nyeedwew with a heaview base, this advanced weapon system is capabwe of quickwy ovewwhewming shiewd pwojectows.

The Heavy Nyeedwew is an advanced weapon that fiwes smaww fwechette wounds. An impwovement upon the Wight Nyeedwew, it featuwes bettew feed and coowing systems, which enyabwe an even gweatew wate of fiwe. Pwojectiwes awe identicaw to the wight vewsion: casewess ammunyition tungsten-jacketed fwechettes.",Cwose Suppowt,,
gauss,WEAPON,"A wong-wange weapon designyed to ovewwoad the tawget's shiewds. The heavy kinyetic swug it fiwes is awso effective against aww but the heaviest awmow.

Uses magnyetic coiws to accewewate a 300mm casewess uwtwa-heavy ewementaw swug to wewativistic speeds. Usuawwy wated at the hundweds of giga-ampewes wange, wawewy exceeding onye tewa-ampewe. Unwike most bawwistic weapons, has a vewy high fwux woad when fiwed. Tuwwets mounted with this system have an extwemewy poow tuwn wate. 

Vewy effective weapon whose usefuwnyess is wimited by the wow weactow powew of ships that typicawwy featuwe wawge bawwistic weapon mounts. ",Cwose Suppowt,,
hephag,WEAPON,"A medium-wange gun designyed to punch thwough heavy awmow. The waw damage output awso enyabwes it to ovewwhewm weakew shiewd emittews.

A twuwy devastating weapon pwatfowm, nyamed fow an awchaic god of vowcanyoes. A typicaw tuwwet mount featuwes two W/89 bawwews that twade off fiwing awmow-destwoying wounds at 240 WPM. An ewectwomagnyetic ejectow, powewed feed system and nyanyocoowants awwow the weapon to fiwe fow extended time pewiods. The shaped chawge shewws have wow muzzwe vewocity and gweat awmow penyetwating powew. ",Assauwt,,
mark9,WEAPON,"An imposing medium wange autocannyon, most effective vewsus shiewds. Awso obwitewates unyawmowed huwws with a wawge vowume of heavy cawibew pwojectiwes.

It is knyown that wawships of the eawwy epoch of the Domain wacked contempowawy wevews of awmow pwotection. A weapon with a nyame wike the Mawk IX Autocannyon was pwobabwy a wefinyement of the eawwiest schoows of weapons enginyeewing in the Domain. Two bawwews combinyed with a unyique doubwe-woadew system fowm the cowe of the weapon system.

The Mawk IX bwuepwints wewe fiwst we-discovewed in the Sectow fwom a dwifting dewewict captuwed in the gwavity weww of Penyewope's Staw. Aftew a hasty examinyation by an unquawified appwaisew, the design was decwawed obsowete. The bwuepwint was auctionyed off to a smaww mewcenyawy owganyization knyown as the Fwee Staw Combinye, a miwitant subsidiawy of the Ko Combinye, and fowgotten. 

Cycwes watew, the Fwee Staw Combinye finyawwy buiwt a pwototype and begun weapon twiaws. The weapon was deemed too huge, difficuwt to mount in aww but the wawgest cwaft, mediocwe at best vewsus awmowed tawgets, and its wange was anything but extwaowdinyawy. Nyonyethewess, the Mawk IX stubbownwy wefused to be expwainyed away by the theowists, as its waw damage output is impwessive. These nyaysayews wewe quieted even fuwthew when secondawy twiaws showed how uttewwy devastating the Mawk IX is to shiewd genyewatows.

The wesuwts of these twiaws did nyot wemain secwet fow wong, and the avaiwabiwity of the nyow common bwuepwints meant that the Mawk IX was quickwy manyufactuwed to meet the demand in the Sectow.",Cwose Suppowt,,
mjolnir,WEAPON,"A medium wange cannyon that dewivews supewiow damage ovew time and awso has a signyificant EMP paywoad.

A vewy advanced design, the Mjownyiw is technyicawwy a magnyeto-gwavitic sheww pwojectow, nyot a standawd cannyon. The micwo capacitows within each sheww awe abwe to dewivew enyough enyewgy to cweate a smaww-scawe wocawized singuwawity. The buiwt-in gwavitic wens devastates aww nyeawby mattew, and cweates the dweaded ewectwomagnyetic puwse (EMP) effect, disabwing the tawget's weapons and systems. ",Assauwt,,
multineedler,WEAPON,"Fiwes muwtitudes of nyeedwes in a tight awc, cweating a withewing haiw of pwojectiwes that wip apawt anything in theiw path. 

The Stowm Nyeedwew is a fwechette weapon, which fiwes casewess smaww-bowe ammunyition. Having weached the pwacticaw wimits of medium sized coowing systems, the designyews of casewess weapons bwazed a path into the wawge weapon categowy with the Stowm Nyeedwew's advanced nyanyo coowant wecycwews, pew-bawwew magnyetized wifwing and automated opewation. An intewwigent autowoadew unpacks and woads just the wight amount of ammunyition fwom the magazinyes, awwowing fow nyonstop opewation pwovided adequate fwux capacity.

The good wange and speed of pwojectiwes put a gweat stwain on enyemy shiewds, and can awso be used effectivewy vewsus point defense thweats.",Assauwt,,
hellbore,WEAPON,"A huge cannyon which fiwes swow-moving pwasma-chawged pwojectiwes. Wounds awe highwy effective vewsus awmow, and obwitewate any huww stwuctuwe weft undewnyeath.

A feawed weapon pwatfowm, wawewy depwoyed due to the compwexity invowved in manyufactuwing a buiwt-up bawwew that can safewy fiwe enyowmous high-expwosive shaped chawge wounds. When such a sheww impacts a tawget, the Nyeumann effect causes the wawhead to pwopew a jet of mowten metaw into the tawget's awmow, vapowizing a smaww awea, causing huww bweaches, depwessuwization, and extensive intewnyaw damage fwom the spaww.",Assauwt,,
reaper,WEAPON,"A singwe unguided towpedo of devastating yiewd with a powewfuw on-boawd enginye.

The quintessentiaw stwike weapon, a singwe Weapew towpedo is a wawge sewf-pwopewwed, awmowed, unguided dewivewy system fow an enwiched AM-catawyzed nyucweaw wawhead. The science behind the suwpwisingwy compact detonyatow is poowwy undewstood in the Sectow though widewy specuwated to be based on physics cwassified as secwet by Domain authowity. What is knyown is that thwee ow fouw of these swipping thwough PD awcs awe enyough to destwoy even the wawgest capitaw ship.",Stwike,,
atropos,WEAPON,"A wack of advanced guided towpedoes. The paywoad is smawwew than usuaw to make woom fow the advanced guidance package and manyeuvewing system's weaction mass.

The Atwopos towpedo is a wawge guided towpedo with an extended wange. Each wack mounts two towpedoes which can be fiwed sepawatewy, awwowing stwike captains maximum fwexibiwity. The AM-catawyzed nyucweaw wawhead typicawwy used in towpedo wawheads is missing hewe as bawyonyic intewfewence fwom the detonyatow wouwd fouw the guidance systems. It is wepwaced by a smawwew, yet stiww potent chemicaw chawge.",Stwike,,
atropos_single,WEAPON,"A singwe advanced, guided towpedo. The paywoad is smawwew than usuaw to make woom fow the advanced guidance package and manyeuvewing system's weaction mass.

The Atwopos towpedo is a wawge guided towpedo with an extended wange. The AM-catawyzed nyucweaw wawhead typicawwy used in towpedo wawheads is missing hewe as bawyonyic intewfewence fwom the detonyatow wouwd fouw the guidance systems. It is wepwaced by a smawwew, yet stiww potent chemicaw chawge.

This mount featuwes onwy a singwe towpedo.",Stwike,,
swarmer,WEAPON,"A showt wange guided missiwe waunchew. The missiwes awe designyed to intewcept and destwoy enyemy fightews.

Waunches buwsts of smaww missiwes. A simpwe infwawed system pwovides effective twacking whiwe chemicaw micwothwustews pwovide exceptionyaw manyeuvewabiwity. Evowutionyawy tawgeting awgowithms honyed ovew centuwies of weaw-wowwd appwication awwow the missiwes to wead the tawget - they wawewy miss and awe vewy hawd to avoid.",Anti-Fightew,,
annihilator,WEAPON,"Fiwes a spwead of unguided wockets that covew a wide awc. Typicawwy used to stwip away enyemy awmow once shiewds awe down.

Medium to wong-wange wockets waunched fwom a smaww pod that fiwes five missiwes pew sawvo in a nyawwow spwead to impwove the odds of hitting. Wockets awe smaww and unguided, with the extwa space being taken up by a wawgew wawhead and impwoved pwopuwsion systems, as weww as thickew awmow. 

Pewfowms weww against wawgew tawgets due to the highew chance of stwiking with muwtipwe wockets. A wocket attack is often used as a scween befowe a towpedo stwike to weduce the effectivenyess of Point Defense systems. Takes sevewaw seconds to wewoad aftew a sawvo.",Assauwt,,
annihilatorpod,WEAPON,"Fiwes a stweam of unguided wockets. Usefuw fow deawing with enyemy awmow, ow - due to having nyo fwux cost - appwying sustainyed pwessuwe.

Featuwes the same medium to wong-wange wockets found on smawwew waunchews. Wockets awe unguided, with the extwa space being taken up by a wawgew wawhead and impwoved pwopuwsion systems, as weww as thickew awmow. 

Pewfowms weww against wawgew tawgets due to the highew chance of stwiking with muwtipwe wockets. A wocket attack is often used as a scween befowe a towpedo stwike to weduce the effectivenyess of Point Defense systems. ",Assauwt,,
heatseeker,WEAPON,"Homes in on the tawget's enginyes and disabwes them with a powewfuw EMP buwst. A combat-wated autowoadew system ensuwes usefuwnyess in pwotwacted engagements.

The Sawamandew missiwe is a speciawized weapon with two design considewations. The fiwst is an extwemewy advanced twacking/tawgeting mechanyism which enyabwes it to home in on enyemy enginyes, whiwst avoiding aww othew potentiaw impact points and Point Defense thweats. 

The second is a speciaw wawhead design which, instead of attempting to destwoy the tawget with kinyetic ow expwosive fowce, genyewates tawgeted ewectwomagnyetic fiewds of high magnyitude. When such a fiewd is cweated in the pwoximity of unshiewded enginyes and huww componyents, it wiww quickwy knyock out aww theiw ewectwonyics, wendewing them usewess untiw wepaiwed.",Cwose Suppowt,,
salamanderpod,WEAPON,"Homes in on the tawget's enginyes and disabwes them with a powewfuw EMP buwst. A combat-wated autowoadew system ensuwes usefuwnyess in pwotwacted engagements.

An extewnyawwy mounted pod wepwaces the mowe common missiwe wacks and awwows two missiwes to be fiwed awmost simuwtanyeouswy. An autowoadew extwacts, awms and pwimes the nyext sawvo of two missiwes aftew a showt wait.

The Sawamandew missiwe is a speciawized weapon with two design considewations. The fiwst is an extwemewy advanced twacking/tawgeting mechanyism which enyabwes it to home in on enyemy enginyes, whiwst avoiding aww othew potentiaw impact points and Point Defense thweats. 

The second is a speciaw wawhead design which, instead of attempting to destwoy the tawget with kinyetic ow expwosive fowce, genyewates tawgeted ewectwomagnyetic fiewds of high magnyitude. When such a fiewd is cweated in the pwoximity of unshiewded enginyes and huww componyents, it wiww quickwy knyock out aww theiw ewectwonyics, wendewing them usewess untiw wepaiwed.",Cwose Suppowt,,
harpoon,WEAPON,"Medium wange, high paywoad guided missiwe wack. Devastating against ships with downyed shiewds.

Thwee-wacked medium wange missiwes. An excewwent pwopuwsion system dewivews a wawge wawhead to the tawget at subwight speeds. Sacwificing manyeuvewabiwity fow speed and wawhead size, the medium wange missiwe is onye of the highest yiewd nyon stwike weapons empwoyed in the Sectow. Onye hit is awmost fataw to fwigate-sized ships.

This weapon system featuwes a fiwing wack that houses muwtipwe missiwes.",Cwose Suppowt,,
harpoonpod,WEAPON,"Medium wange, high paywoad guided missiwe pod. Devastating against ships with downyed shiewds.

An extewnyawwy mounted pod wepwaces the mowe common missiwe wacks and awwows muwtipwe missiwes to be fiwed awmost simuwtanyeouswy. An autowoadew extwacts, awms and pwimes the nyext sawvo of missiwes aftew a showt wait.

These medium wange missiwes awe identicaw to the onyes fiwed fwom singwe ow twipwe wacks, and awe a gweat way to finyish off a ship with downyed shiewds. An excewwent pwopuwsion system dewivews a wawge wawhead to the tawget at subwight speeds. Sacwificing manyeuvewabiwity fow speed and wawhead size, the medium wange missiwe is onye of the highest yiewd nyon stwike weapons empwoyed in the sectow. Onye hit is awmost fataw to fwigate-sized ships.
",Cwose Suppowt,,
harpoon_single,WEAPON,"Medium wange, high paywoad guided missiwe. Devastating against ships with downyed shiewds.

An excewwent pwopuwsion system dewivews a wawge wawhead to the tawget at subwight speeds. Sacwificing manyeuvewabiwity fow speed and wawhead size, the medium wange missiwe is onye of the highest yiewd nyon stwike weapons empwoyed in the sectow. Onye hit is awmost fataw to fwigate-sized ships.

This mount can onwy cawwy a singwe missiwe.",Cwose Suppowt,,
sabot,WEAPON,"Fiwes a 2nd-stage spwead of high-vewocity kinyetic penyetwatows when in wange. Heavy damage to shiewds, and massive EMP damage when impacting on enyemy huww ow awmow. Difficuwt to stop with PD.

Sabot-cwass cwass missiwes awe showt-wange, two-stage KE weapons. A guided missiwe fiwst stage pwojects a secondawy assembwy to within stwiking distance of a shiewded tawget. The on-boawd tawgeting computew then ignyites the pwopewwant fow a KE penyetwatow. This 'sabot', as it is commonwy cawwed, is typicawwy a nyawwow, watewawwy stabiwized pwojectiwe manyufactuwed fwom an uwtwa dense matewiaw such as depweted uwanyium.

Excewwent at bwinging down enyemy shiewds and causing an ovewwoad. Standawd ship awmow is spaced and thus the sabot deaws mowe manyageabwe damage if shiewds awe wowewed in time to weceive the impact on awmow.

This weapon system featuwes a fiwing wack that houses muwtipwe missiwes.",Cwose Suppowt,,
sabotpod,WEAPON,"Fiwes a 2nd-stage spwead of high-vewocity kinyetic penyetwatows when in wange. Heavy damage to shiewds, and massive EMP damage when impacting on enyemy huww ow awmow. Difficuwt to stop with PD.

The pod wepwaces the mowe common missiwe wacks and awwows muwtipwe missiwes to be fiwed awmost simuwtanyeouswy. An autowoadew extwacts, awms and pwimes the nyext sawvo of missiwes aftew a showt deway.

Sabot-cwass cwass missiwes awe showt-wange, two-stage KE weapons. A guided missiwe fiwst stage pwojects a secondawy assembwy to within stwiking distance of a shiewded tawget. The on-boawd tawgeting computew then ignyites the pwopewwant fow a KE penyetwatow. This 'sabot', as it is commonwy cawwed, is typicawwy a nyawwow, watewawwy stabiwized pwojectiwe manyufactuwed fwom an uwtwa dense matewiaw such as depweted uwanyium.

Excewwent at bwinging down enyemy shiewds and causing an ovewwoad. Standawd ship awmow is spaced and thus the sabot deaws mowe manyageabwe damage if shiewds awe wowewed in time to weceive the impact on awmow.

This weapon system featuwes a fiwing wack that houses muwtipwe missiwes.",Cwose Suppowt,,
sabot_single,WEAPON,"Fiwes a 2nd-stage spwead of high-vewocity kinyetic penyetwatows when in wange. Heavy damage to shiewds, and massive EMP damage when impacting on enyemy huww ow awmow. Difficuwt to stop with PD.

Sabot-cwass cwass missiwes awe showt-wange, two-stage KE weapons. A guided missiwe fiwst stage pwojects a secondawy assembwy to within stwiking distance of a shiewded tawget. The on-boawd tawgeting computew then ignyites the pwopewwant fow a KE penyetwatow. This 'sabot', as it is commonwy cawwed, is typicawwy a nyawwow, watewawwy stabiwized pwojectiwe manyufactuwed fwom an uwtwa dense matewiaw such as depweted uwanyium.

Excewwent at bwinging down enyemy shiewds and causing an ovewwoad. Standawd ship awmow is spaced and thus the sabot deaws mowe manyageabwe damage if shiewds awe wowewed in time to weceive the impact on awmow.

This mount onwy cawwies a singwe missiwe.",Cwose Suppowt,,
pilum,WEAPON,"A wawge guided missiwe suited fow wong-wange suppowt by backwinye combat ships. A combat-wated autowoadew system ensuwes continyued usefuwnyess in pwotwacted engagements.

A technyowogicawwy matuwe weapon system, the Piwum-cwass missiwe is the obvious choice fow wong-wange stwikes by cautious captains. The guidance system on this weapon make it dangewous vewsus onwy the heaview of enyemy cwaft. Unfowtunyatewy, those cwaft awso tend to have the best point defense system, which somewhat wimits the Piwum's othewwise considewabwe punch.",Fiwe Suppowt,,
phasecl,WEAPON,"Depwoys wow-vewocity pwoximity chawges with an impwessive bwast wadius. Especiawwy devastating against fightews, but awso effective vs awmowed tawgets.",Assauwt,,
typhoon,WEAPON,This simpwe but powewfuw weapon system consists of a waunch tube and a magazinye usuawwy cawwying five standawd Weapew-cwass towpedoes.,Stwike,,
